LAI,CAC,Sensible heat flux (kJ/hr),Latent heat flux (kg/hr)
0.007026,0.002722,-0.122139,0.000157
0.007047,0.002730,-0.122493,0.000158
0.007067,0.002738,-0.122850,0.000158
0.007088,0.002746,-0.123208,0.000158
0.007109,0.002754,-0.123566,0.000159
0.007129,0.002762,-0.123924,0.000159
0.007150,0.002770,-0.124284,0.000160
0.007171,0.002778,-0.124645,0.000160
0.007191,0.002786,-0.125007,0.000161
0.007212,0.002794,-0.125370,0.000161
0.007233,0.002802,-0.125733,0.000162
0.007254,0.002810,-0.126098,0.000162
0.007275,0.002818,-0.126463,0.000163
0.007296,0.002827,-0.126830,0.000163
0.007317,0.002835,-0.127197,0.000164
0.007339,0.002843,-0.127565,0.000164
0.007360,0.002851,-0.127936,0.000165
0.007381,0.002860,-0.128306,0.000165
0.007403,0.002868,-0.128678,0.000165
0.007424,0.002876,-0.129050,0.000166
0.007445,0.002884,-0.129422,0.000166
0.007467,0.002893,-0.129797,0.000167
0.007489,0.002901,-0.130171,0.000167
0.007510,0.002909,-0.130548,0.000168
0.007532,0.002918,-0.130926,0.000168
0.007554,0.002926,-0.131303,0.000169
0.007575,0.002935,-0.131682,0.000169
0.007597,0.002943,-0.132062,0.000170
0.007619,0.002952,-0.132443,0.000170
0.007641,0.002960,-0.132824,0.000171
0.007663,0.002969,-0.133208,0.000171
0.007685,0.002977,-0.133590,0.000172
0.007707,0.002986,-0.133976,0.000172
0.007730,0.002994,-0.134362,0.000173
0.007752,0.003003,-0.134748,0.000173
0.007774,0.003012,-0.135136,0.000174
0.007796,0.003020,-0.135525,0.000174
0.007819,0.003029,-0.135914,0.000175
0.007841,0.003038,-0.136306,0.000175
0.007864,0.003047,-0.136697,0.000176
0.007886,0.003055,-0.137090,0.000176
0.007909,0.003064,-0.137484,0.000177
0.007932,0.003073,-0.137879,0.000177
0.007955,0.003082,-0.138273,0.000178
0.007977,0.003090,-0.138670,0.000178
0.008000,0.003099,-0.139068,0.000179
0.008023,0.003108,-0.139468,0.000179
0.008046,0.003117,-0.139867,0.000180
0.008069,0.003126,-0.140267,0.000180
0.008092,0.003135,-0.140669,0.000181
0.008116,0.003144,-0.141072,0.000181
0.008139,0.003153,-0.141475,0.000182
0.008162,0.003162,-0.141880,0.000182
0.008185,0.003171,-0.142285,0.000183
0.008209,0.003180,-0.142692,0.000184
0.008232,0.003189,-0.143101,0.000184
0.008256,0.003198,-0.143509,0.000185
0.008279,0.003207,-0.143919,0.000185
0.008303,0.003217,-0.144331,0.000186
0.008327,0.003226,-0.144743,0.000186
0.008351,0.003235,-0.145155,0.000187
0.008374,0.003244,-0.145569,0.000187
0.008398,0.003253,-0.145984,0.000188
0.008422,0.003263,-0.146402,0.000188
0.008446,0.003272,-0.146819,0.000189
0.008470,0.003281,-0.147236,0.000189
0.008494,0.003291,-0.147655,0.000190
0.008519,0.003300,-0.148075,0.000190
0.008543,0.003309,-0.148498,0.000191
0.008567,0.003319,-0.148920,0.000192
0.008591,0.003328,-0.149343,0.000192
